idx,item_id,family,title,r720e_target_sid,r720e_pred1_sid,r720e_hit1,r720e_hit3,r720e_hit5,r720e_hit10,r720e_top1_l1,r720e_top10_l1,r720e_top1_l2,r720e_top10_l2,r720e_top1_l3,r720e_top10_l3,r720e_l1,r720e_l1_size,r720e_l1_purity,r720e_l1_top_family,r720e_pred1_item_id,r720e_pred1_title,r720e_pred1_family,r720b_target_sid,r720b_pred1_sid,r720b_hit1,r720b_hit3,r720b_hit5,r720b_hit10,r720b_top1_l1,r720b_top10_l1,r720b_top1_l2,r720b_top10_l2,r720b_top1_l3,r720b_top10_l3,r720b_l1,r720b_l1_size,r720b_l1_purity,r720b_l1_top_family,r720b_pred1_item_id,r720b_pred1_title,r720b_pred1_family,orig_align_target_sid,orig_align_pred1_sid,orig_align_hit1,orig_align_hit3,orig_align_hit5,orig_align_hit10,orig_align_top1_l1,orig_align_top10_l1,orig_align_top1_l2,orig_align_top10_l2,orig_align_top1_l3,orig_align_top10_l3,orig_align_l1,orig_align_l1_size,orig_align_l1_purity,orig_align_l1_top_family,orig_align_pred1_item_id,orig_align_pred1_title,orig_align_pred1_family,orig_strong_target_sid,orig_strong_pred1_sid,orig_strong_hit1,orig_strong_hit3,orig_strong_hit5,orig_strong_hit10,orig_strong_top1_l1,orig_strong_top10_l1,orig_strong_top1_l2,orig_strong_top10_l2,orig_strong_top1_l3,orig_strong_top10_l3,orig_strong_l1,orig_strong_l1_size,orig_strong_l1_purity,orig_strong_l1_top_family,orig_strong_pred1_item_id,orig_strong_pred1_title,orig_strong_pred1_family,v2_target_sid,v2_pred1_sid,v2_hit1,v2_hit3,v2_hit5,v2_hit10,v2_top1_l1,v2_top10_l1,v2_top1_l2,v2_top10_l2,v2_top1_l3,v2_top10_l3
1052,127,tape,"Morris 60202 Black Commercial Grade Vinyl Electrical Tape, 8.5 mil, 66' Length, 2"" Width",<a_82><b_4><c_11>,<a_187><b_23><c_0>,0,0,0,0,0,0,0,0,0,0,<a_82>,37,0.43243243243243246,tape,2083,Applied Magnets Strong N52 Neodymium Magnet 1 inch Cube,other,<a_76><b_144><c_152>,<a_34><b_81><c_83>,0,0,0,0,0,0,0,0,0,0,<a_76>,19,1.0,tape,280,WD-40 Multi-Use Product with SMART STRAW&nbsp;SPRAYS 2 WAYS 8 OZ,ventilation_fan,<a_202><b_158><c_115>,<a_202><b_52><c_171>,0,0,0,0,1,1,0,0,0,0,<a_202>,117,0.9829059829059829,tape,130,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",tape,<a_202><b_158><c_115>,<a_107><b_93><c_0>,0,0,0,0,0,1,0,0,0,0,<a_202>,117,0.9829059829059829,tape,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,<a_230><b_203><c_188>,<a_171><b_140><c_31>,0,0,0,0,0,0,0,0,0,0
1053,83,gauge_meter,Wixey WR300 Type 2 Digital Angle Gauge with Backlight&hellip;,<a_101><b_127><c_114>,<a_251><b_43><c_121>,0,0,0,0,0,0,0,0,0,0,<a_101>,14,0.5,gauge_meter,359,Kreg SK03 Pocket-Hole Screw Kit in 5 Sizes,fastener,<a_84><b_217><c_127>,<a_130><b_141><c_159>,0,0,0,0,0,0,0,0,0,0,<a_84>,6,0.6666666666666666,other,1985,"Kreg SML-C2 2-Inch Washer Head #8 Coarse Pocket Screws, 50 Count",fastener,<a_17><b_20><c_23>,<a_173><b_93><c_124>,0,0,0,0,0,0,0,0,0,0,<a_17>,99,0.5959595959595959,other,40,"Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon",other,<a_17><b_20><c_23>,<a_224><b_163><c_205>,0,0,0,0,0,0,0,0,0,0,<a_17>,99,0.5959595959595959,other,359,Kreg SK03 Pocket-Hole Screw Kit in 5 Sizes,fastener,<a_71><b_208><c_185>,<a_87><b_146><c_31>,0,0,0,0,0,0,0,0,0,0
1054,200,tape,"3M Scotch 2120-A Tough Transparent Duct Tape, 1.8-Inch, 20 yds",<a_71><b_239><c_111>,<a_179><b_49><c_15>,0,0,0,0,0,0,0,0,0,0,<a_71>,15,0.5333333333333333,tape,393,"LASCO 02-1048E Rubber Sheet, 6-Inches X 6-Inches and 1/16-Inch Thick",other,<a_204><b_77><c_228>,<a_131><b_6><c_0>,0,0,0,0,0,0,0,0,0,0,<a_204>,11,0.2727272727272727,gauge_meter,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,<a_206><b_9><c_216>,<a_165><b_59><c_69>,0,0,0,0,0,0,0,0,0,0,<a_206>,60,0.5666666666666667,other,675,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,adhesive_epoxy,<a_206><b_9><c_216>,<a_79><b_85><c_90>,0,0,0,0,0,0,0,0,0,0,<a_206>,60,0.5666666666666667,other,393,"LASCO 02-1048E Rubber Sheet, 6-Inches X 6-Inches and 1/16-Inch Thick",other,<a_61><b_27><c_135>,<a_230><b_228><c_15>,0,0,0,0,0,0,0,0,0,0
1055,2044,other,"Gorilla 100 Percent Silicone Sealant Caulk, 2.8 ounce Squeeze Tube, Clear",<a_0><b_196><c_140>,<a_122><b_107><c_24>,0,0,0,0,0,1,0,0,0,0,<a_0>,20,0.8,adhesive_epoxy,130,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",tape,<a_41><b_69><c_53>,<a_131><b_6><c_0>,0,0,0,0,0,0,0,0,0,0,<a_41>,14,0.7857142857142857,other,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,<a_244><b_52><c_0>,<a_165><b_247><c_68>,0,0,0,0,0,1,0,0,0,0,<a_244>,72,0.7083333333333334,other,57,"Gorilla 2 Part Epoxy, 5 Minute Set, .85 ounce Syringe, Clear",adhesive_epoxy,<a_244><b_52><c_0>,<a_165><b_15><c_16>,0,0,0,0,0,0,0,0,0,0,<a_244>,72,0.7083333333333334,other,202,Loctite Liquid Professional Super Glue  20-Gram Bottle (1365882),adhesive_epoxy,<a_69><b_196><c_123>,<a_92><b_115><c_7>,0,0,0,0,0,0,0,0,0,0
1056,924,adhesive_epoxy,"Loctite 234796-6 Super Glue Liquid, 10g Longneck Bottles (Case of 6)",<a_53><b_12><c_159>,<a_92><b_103><c_11>,0,0,0,0,0,0,0,0,0,0,<a_53>,19,0.9473684210526315,adhesive_epoxy,56,"RhinoGear 11909ABMI RhinoRamps Vehicle Ramp - Set of 2 (12,000lb. GVW Capacity)",other,<a_128><b_154><c_104>,<a_34><b_81><c_83>,0,0,0,0,0,0,0,0,0,0,<a_128>,13,0.9230769230769231,other,280,WD-40 Multi-Use Product with SMART STRAW&nbsp;SPRAYS 2 WAYS 8 OZ,ventilation_fan,<a_165><b_210><c_215>,<a_107><b_93><c_0>,0,0,0,0,0,1,0,0,0,0,<a_165>,72,0.8194444444444444,adhesive_epoxy,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,<a_165><b_210><c_215>,<a_107><b_93><c_0>,0,0,0,0,0,1,0,0,0,0,<a_165>,72,0.8194444444444444,adhesive_epoxy,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,<a_63><b_129><c_22>,<a_75><b_15><c_194>,0,0,0,0,0,0,0,0,0,0
1057,2274,other,Low Density Polyethylene (LDPE) 30ml Squeezable Dropping Bottle Eye Liquid Dropper Needle Tip with Loop (Pack of 10),<a_83><b_99><c_218>,<a_52><b_117><c_189>,0,0,0,0,0,0,0,0,0,0,<a_83>,38,0.9210526315789473,other,417,American Terminal E-FFB250N-100 16/14-Gauge Economy Nylon Fully-Insulated Female Quick Disconnects,connector_fitting,<a_38><b_111><c_232>,<a_247><b_121><c_3>,0,0,0,0,0,0,0,0,0,0,<a_38>,16,0.9375,other,417,American Terminal E-FFB250N-100 16/14-Gauge Economy Nylon Fully-Insulated Female Quick Disconnects,connector_fitting,<a_150><b_60><c_184>,<a_67><b_56><c_0>,0,0,0,0,0,0,0,0,0,0,<a_150>,116,0.9482758620689655,other,418,American Terminal E-FMB250N-100 16/14-Gauge Economy Nylon Fully-Insulated Male Quick Disconnects,connector_fitting,<a_150><b_60><c_184>,<a_67><b_56><c_0>,0,0,0,0,0,0,0,0,0,0,<a_150>,116,0.9482758620689655,other,418,American Terminal E-FMB250N-100 16/14-Gauge Economy Nylon Fully-Insulated Male Quick Disconnects,connector_fitting,<a_42><b_122><c_189>,<a_53><b_250><c_178>,0,0,0,0,0,0,0,0,0,0
1058,2912,3d_filament,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_165><b_239><c_143>,<a_165><b_239><c_95>,0,1,1,1,1,1,1,1,0,1,<a_165>,58,0.9655172413793104,3d_filament,2979,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,<a_237><b_122><c_37>,<a_58><b_172><c_168>,0,0,0,0,0,1,0,1,0,0,<a_237>,83,0.9879518072289156,3d_filament,1850,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red",3d_filament,<a_158><b_72><c_141>,<a_223><b_80><c_84>,0,0,0,0,0,1,0,1,0,0,<a_158>,109,0.5596330275229358,3d_filament,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",3d_filament,<a_158><b_72><c_141>,<a_158><b_245><c_180>,0,0,0,0,1,1,0,1,0,0,<a_158>,109,0.5596330275229358,3d_filament,1206,"eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black",3d_filament,<a_33><b_187><c_6>,<a_112><b_122><c_79>,0,0,0,0,0,0,0,0,0,0
1059,3114,3d_filament,Inland 1.75mm Purple PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_165><b_239><c_17>,<a_165><b_239><c_95>,0,0,0,1,1,1,1,1,0,1,<a_165>,58,0.9655172413793104,3d_filament,2979,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,<a_237><b_122><c_42>,<a_237><b_122><c_152>,0,0,0,0,1,1,1,1,0,0,<a_237>,83,0.9879518072289156,3d_filament,2934,Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,<a_158><b_72><c_213>,<a_158><b_72><c_88>,0,0,0,1,1,1,1,1,0,1,<a_158>,109,0.5596330275229358,3d_filament,2979,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,<a_158><b_72><c_213>,<a_158><b_72><c_88>,0,0,0,0,1,1,1,1,0,0,<a_158>,109,0.5596330275229358,3d_filament,2979,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,<a_33><b_35><c_247>,<a_22><b_35><c_222>,0,0,0,0,0,1,0,1,0,0
1060,2327,3d_filament,"MakerBot PLA Filament, 1.75 mm Diameter, Small Spool, Army Green",<a_209><b_153><c_114>,<a_165><b_239><c_95>,0,0,0,0,0,0,0,0,0,0,<a_209>,36,1.0,3d_filament,2979,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,<a_237><b_7><c_30>,<a_237><b_122><c_152>,0,0,0,0,1,1,0,0,0,0,<a_237>,83,0.9879518072289156,3d_filament,2934,Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,<a_223><b_243><c_100>,<a_158><b_72><c_88>,0,0,0,0,0,1,0,0,0,0,<a_223>,247,0.9271255060728745,3d_filament,2979,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,<a_223><b_243><c_100>,<a_158><b_72><c_88>,0,0,0,0,0,1,0,0,0,0,<a_223>,247,0.9271255060728745,3d_filament,2979,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,<a_45><b_122><c_28>,<a_33><b_35><c_241>,0,0,0,0,0,0,0,0,0,0
1061,3541,3d_filament,5PCS Nema 17 Stepper Motor Bipolar 2A 84oz.in 48mm 4-lead for 3D Printer/CNC,<a_98><b_18><c_116>,<a_165><b_239><c_95>,0,0,0,0,0,0,0,0,0,0,<a_98>,13,0.6923076923076923,other,2979,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,<a_137><b_170><c_12>,<a_237><b_117><c_239>,0,0,0,0,0,0,0,0,0,0,<a_137>,17,0.5294117647058824,3d_filament,1206,"eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black",3d_filament,<a_30><b_192><c_3>,<a_158><b_245><c_180>,0,0,0,0,0,0,0,0,0,0,<a_30>,68,0.9411764705882353,other,1206,"eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black",3d_filament,<a_30><b_192><c_3>,<a_158><b_245><c_180>,0,0,0,0,0,0,0,0,0,0,<a_30>,68,0.9411764705882353,other,1206,"eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black",3d_filament,<a_20><b_39><c_122>,<a_33><b_35><c_241>,0,0,0,0,0,0,0,0,0,0
1062,2609,other,"Control Devices CR Series Brass Pressure Relief Valve, 0-100 psi Adjustable Pressure Range, 1/4"" Male NPT",<a_20><b_191><c_103>,<a_217><b_60><c_246>,0,0,0,0,0,0,0,0,0,0,<a_20>,17,0.5294117647058824,gauge_meter,2223,"250ml Narrow Mouth Erlenmeyer Flask with Rubber Stoppers, Karter Scientific 213G20 (Pack of 8)",other,<a_123><b_76><c_40>,<a_72><b_64><c_74>,0,0,0,0,0,0,0,0,0,0,<a_123>,17,0.5294117647058824,gauge_meter,296,"EISCO CH0688 Labs Clamp Retort, 3 PVC Coated Prongs (opens to 90mm in dia.) with Boss Head",3d_filament,<a_108><b_93><c_232>,<a_94><b_163><c_50>,0,0,0,0,0,0,0,0,0,0,<a_108>,143,0.6083916083916084,connector_fitting,232,"Karter Scientific 213A2 Borosilicate Glass Low Form Glass Beaker, 50/100/250/500/1000 mL (Pack of 5)",other,<a_108><b_93><c_232>,<a_94><b_144><c_130>,0,0,0,0,0,0,0,0,0,0,<a_108>,143,0.6083916083916084,connector_fitting,1835,"Karter Scientific 214T2, 3.3 Boro, Griffin Low Form, Glass Beaker Set - 3 Sizes - 50ml, 100ml, 250ml",other,<a_206><b_250><c_120>,<a_233><b_160><c_239>,0,0,0,0,0,0,0,0,0,0
1063,725,other,"Bissell Zing Bagged Canister Vacuum, Maroon, 4122 - Corded",<a_221><b_77><c_231>,<a_143><b_164><c_44>,0,0,0,0,0,0,0,0,0,0,<a_221>,20,0.9,other,37,"The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack",other,<a_125><b_145><c_102>,<a_6><b_214><c_68>,0,0,0,0,0,0,0,0,0,0,<a_125>,8,0.875,other,914,"The Hillman Group 591518 Small Machine Screws with Nuts Assortment, 195-Pack",fastener,<a_197><b_33><c_216>,<a_224><b_239><c_0>,0,0,0,0,0,0,0,0,0,0,<a_197>,60,0.7,other,524,"Innovative Components AN4C-5S3L-21 1.75"" Star Knob thru hole&nbsp; 1/4-20 steel zinc lock nut black pp (Pack of 10)",fastener,<a_197><b_33><c_216>,<a_202><b_55><c_251>,0,0,0,0,0,0,0,0,0,0,<a_197>,60,0.7,other,724,"Duck Brand EZ Start Packing Tape With Dispenser, 1.88 Inch x 22.2 Yard, Clear, 1 Roll (393185)",tape,<a_103><b_65><c_156>,<a_234><b_249><c_250>,0,0,0,0,0,0,0,0,0,0
1064,114,adhesive_epoxy,"Super Glue 15187 Super Glue, 12-Pack",<a_53><b_159><c_51>,<a_199><b_215><c_66>,0,0,0,0,0,0,0,0,0,0,<a_53>,19,0.9473684210526315,adhesive_epoxy,1186,360-piece Solderless Electrical Terminal Assortment,connector_fitting,<a_48><b_120><c_125>,<a_253><b_51><c_13>,0,0,0,0,0,0,0,0,0,0,<a_48>,25,1.0,adhesive_epoxy,1416,"Gardner Bender 10-084 WingGard Wire Connector, 100 Pack, Yellow",connector_fitting,<a_165><b_214><c_252>,<a_67><b_27><c_169>,0,0,0,0,0,0,0,0,0,0,<a_165>,72,0.8194444444444444,adhesive_epoxy,1186,360-piece Solderless Electrical Terminal Assortment,connector_fitting,<a_165><b_214><c_252>,<a_67><b_27><c_169>,0,0,0,0,0,0,0,0,0,0,<a_165>,72,0.8194444444444444,adhesive_epoxy,1186,360-piece Solderless Electrical Terminal Assortment,connector_fitting,<a_65><b_21><c_113>,<a_238><b_7><c_201>,0,0,0,0,0,0,0,0,0,0
1065,1402,tape,Heat High Temperature Resistant Adhesive Gold Tape for Electric Task 30m 12mm,<a_71><b_5><c_82>,<a_101><b_91><c_89>,0,0,0,0,0,0,0,0,0,0,<a_71>,15,0.5333333333333333,tape,145,"Marrywindix 6pcs ESD Precision Anti-Static Tweezers, Tweezers Stainless Steel Tweezers with a Bag for Electronics Jewelry-Making Repairing",other,<a_195><b_9><c_63>,<a_99><b_57><c_134>,0,0,0,0,0,0,0,0,0,0,<a_195>,19,0.5263157894736842,3d_filament,2924,"Hilitchi 635 Pcs 40 Pin 2.54mm Pitch Single Row Pin Headers,Dupont Connector Housing Female,Dupont Male/Female Pin Connector Kit",connector_fitting,<a_206><b_219><c_143>,<a_79><b_243><c_129>,0,0,0,0,0,0,0,0,0,0,<a_206>,60,0.5666666666666667,other,3484,"1 Mil Kapton Tape (Polyimide) - 1/2"" X 36 Yds",tape,<a_206><b_219><c_143>,<a_158><b_245><c_180>,0,0,0,0,0,0,0,0,0,0,<a_206>,60,0.5666666666666667,other,1206,"eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black",3d_filament,<a_203><b_210><c_184>,<a_211><b_147><c_178>,0,0,0,0,0,0,0,0,0,0
1066,2703,3d_filament,"eSUN 3D 1.75mm PETG Black Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque Black",<a_123><b_54><c_22>,<a_120><b_18><c_136>,0,0,0,0,0,1,0,1,0,0,<a_123>,27,0.6666666666666666,3d_filament,1205,"PEI (Polyetherimide) Sheet, Opaque Off-White, Standard Tolerance, ASTM D5205 PEI0113, 0.03"" Thickness, 12"" Width, 24"" Length",other,<a_237><b_57><c_96>,<a_5><b_117><c_80>,0,0,0,0,0,0,0,0,0,0,<a_237>,83,0.9879518072289156,3d_filament,3266,2x ATMEL ATTINY85-20PU 8-BIT 20MHz MCU,other,<a_223><b_126><c_0>,<a_223><b_86><c_176>,0,0,0,0,1,1,0,0,0,0,<a_223>,247,0.9271255060728745,3d_filament,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",3d_filament,<a_223><b_126><c_0>,<a_73><b_110><c_3>,0,0,0,0,0,1,0,0,0,0,<a_223>,247,0.9271255060728745,3d_filament,1824,DTOL 10 X Mini Laser Dot Diode Module Head WL Red 650nm 6mm 5V 5mW Pack of 10,other,<a_211><b_35><c_13>,<a_211><b_147><c_178>,0,0,0,1,1,1,0,1,0,1
1067,563,3d_filament,Foreasy 3D Printer Tool 3D Print Removal Tool Enhanced Version Set of 2,<a_168><b_202><c_66>,<a_123><b_54><c_63>,0,0,0,0,0,0,0,0,0,0,<a_168>,67,0.8059701492537313,3d_filament,2157,"eSUN 3D 1.75mm PETG Blue Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Semi-Transparent Blue",3d_filament,<a_113><b_247><c_0>,<a_5><b_117><c_80>,0,0,0,0,0,0,0,0,0,0,<a_113>,16,0.5625,3d_filament,3266,2x ATMEL ATTINY85-20PU 8-BIT 20MHz MCU,other,<a_223><b_59><c_60>,<a_223><b_86><c_176>,0,0,0,0,1,1,0,0,0,0,<a_223>,247,0.9271255060728745,3d_filament,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",3d_filament,<a_223><b_59><c_60>,<a_158><b_245><c_180>,0,0,0,1,0,1,0,1,0,1,<a_223>,247,0.9271255060728745,3d_filament,1206,"eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black",3d_filament,<a_204><b_38><c_221>,<a_211><b_35><c_13>,0,0,0,0,0,0,0,0,0,0
1068,2944,3d_filament,RepRap Champion 2M PTFE Teflon Tube + 2 x PC4-M6 Fittings for RepRap 3D Printer Bowden Hotend 1.75mm,<a_123><b_244><c_78>,<a_123><b_54><c_63>,0,0,0,0,1,1,0,0,0,0,<a_123>,27,0.6666666666666666,3d_filament,2157,"eSUN 3D 1.75mm PETG Blue Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Semi-Transparent Blue",3d_filament,<a_120><b_97><c_152>,<a_237><b_57><c_120>,0,0,0,0,0,1,0,0,0,0,<a_120>,21,0.5238095238095238,3d_filament,2158,"eSUN 3D 1.75mm PETG Green Filament 1kg (2.2lb), PETG 3D Printer Filament, Semi-Transparent 1.75mm Green",3d_filament,<a_91><b_147><c_71>,<a_223><b_144><c_153>,0,0,0,0,0,0,0,0,0,0,<a_91>,72,0.7083333333333334,3d_filament,1795,"eSUN 1.75mm Black PLA 3D Printer filament 1kg Spool (2.2lbs), Black",3d_filament,<a_91><b_147><c_71>,<a_158><b_245><c_180>,0,0,0,0,0,1,0,0,0,0,<a_91>,72,0.7083333333333334,3d_filament,1206,"eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black",3d_filament,<a_250><b_133><c_134>,<a_211><b_35><c_13>,0,0,0,0,0,0,0,0,0,0
1069,2584,other,"Plymor 4"" x 4"", 4 Mil (Pack of 500) Heavy Duty Plastic Reclosable Zipper Bags",<a_254><b_150><c_11>,<a_233><b_174><c_252>,0,0,0,0,0,0,0,0,0,0,<a_254>,30,1.0,other,42,"Precision Brand M6S Micro Seal, Miniature All Stainless Worm Gear Hose Clamp, 5/16"" - 7/8"" (Pack of 10)",connector_fitting,<a_238><b_58><c_201>,<a_229><b_119><c_178>,0,0,0,0,0,0,0,0,0,0,<a_238>,39,1.0,other,2531,"TapeCase Silver Aluminum Foil Tape with Conductive Acrylic Adhesive, Converted from 3M 1120, 36 yd Length, 0.313"" Width, Roll",tape,<a_210><b_219><c_7>,<a_202><b_10><c_78>,0,0,0,0,0,0,0,0,0,0,<a_210>,95,0.8421052631578947,other,353,"Scotch Aluminum Foil Tape 3311 Silver, 2 in x 10 yd 3.6 mil (Pack of 1)",tape,<a_210><b_219><c_7>,<a_202><b_119><c_147>,0,0,0,0,0,0,0,0,0,0,<a_210>,95,0.8421052631578947,other,2543,"TapeCase CFL-5CA Conductive Copper Foil 3/4"" x 6yds (1 Roll)",tape,<a_72><b_11><c_74>,<a_201><b_250><c_147>,0,0,0,0,0,0,0,0,0,0
1070,2997,other,"Silicone Sheet Gasket, Red, 1/16"" Thick, 12"" &times; 12"" (Pack of 1)",<a_71><b_241><c_244>,<a_121><b_79><c_235>,0,0,0,0,0,0,0,0,0,0,<a_71>,15,0.5333333333333333,tape,1268,"Vacmaster 4 Gallon, 5 Peak HP with 2-Stage Industrial Motor Wet/Dry Floor Vacuum, VF408",other,<a_156><b_99><c_228>,<a_131><b_6><c_0>,0,0,0,0,0,0,0,0,0,0,<a_156>,12,0.8333333333333334,other,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,<a_17><b_1><c_8>,<a_94><b_35><c_31>,0,0,0,0,0,0,0,0,0,0,<a_17>,99,0.5959595959595959,other,148,"Plastic Transfer Pipettes 3ml, Graduated, Pack of 100",other,<a_17><b_1><c_8>,<a_206><b_204><c_231>,0,0,0,0,0,0,0,0,0,0,<a_17>,99,0.5959595959595959,other,1963,"Non-GMO Project Verified Citric Acid - 1 Pound - Organic, 100% Pure - Alpha Chemicals",other,<a_78><b_39><c_234>,<a_154><b_37><c_0>,0,0,0,0,0,0,0,0,0,0
1071,2477,3d_filament,BAMtack! 1.75mm Black PLA 3D Printer Filament - 1kg (2.2 lbs) - Dimensional Accuracy +/- 0.03mm,<a_168><b_145><c_10>,<a_19><b_2><c_4>,0,0,0,0,0,0,0,0,0,0,<a_168>,67,0.8059701492537313,3d_filament,1157,"6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2"" Diameter, 12"" Length",gauge_meter,<a_71><b_55><c_53>,<a_185><b_21><c_31>,0,0,0,0,0,0,0,0,0,0,<a_71>,33,1.0,3d_filament,1158,"6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/2"" Diameter, 24"" Length",gauge_meter,<a_223><b_160><c_251>,<a_251><b_198><c_188>,0,0,0,0,0,0,0,0,0,0,<a_223>,247,0.9271255060728745,3d_filament,1158,"6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/2"" Diameter, 24"" Length",gauge_meter,<a_223><b_160><c_251>,<a_251><b_198><c_188>,0,0,0,0,0,0,0,0,0,0,<a_223>,247,0.9271255060728745,3d_filament,1158,"6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/2"" Diameter, 24"" Length",gauge_meter,<a_22><b_249><c_221>,<a_58><b_126><c_157>,0,0,0,0,0,0,0,0,0,0
1072,3559,other,Beaker Low Form Glass Graduated 600ml,<a_140><b_206><c_150>,<a_19><b_53><c_125>,0,0,0,0,0,0,0,0,0,0,<a_140>,41,0.975609756097561,other,728,"Cold Rolled Steel A513 Drawn Over Mandrel Round Tubing, ASTM A513, 1-1/4"" OD, 1.01"" ID, 0.12"" Wall, 72"" Length",other,<a_251><b_120><c_103>,<a_185><b_253><c_134>,0,0,0,0,0,0,0,0,0,0,<a_251>,29,1.0,other,728,"Cold Rolled Steel A513 Drawn Over Mandrel Round Tubing, ASTM A513, 1-1/4"" OD, 1.01"" ID, 0.12"" Wall, 72"" Length",other,<a_94><b_149><c_175>,<a_251><b_54><c_150>,0,0,0,0,0,0,0,0,0,0,<a_94>,111,0.8468468468468469,other,728,"Cold Rolled Steel A513 Drawn Over Mandrel Round Tubing, ASTM A513, 1-1/4"" OD, 1.01"" ID, 0.12"" Wall, 72"" Length",other,<a_94><b_149><c_175>,<a_251><b_54><c_150>,0,0,0,0,0,0,0,0,0,0,<a_94>,111,0.8468468468468469,other,728,"Cold Rolled Steel A513 Drawn Over Mandrel Round Tubing, ASTM A513, 1-1/4"" OD, 1.01"" ID, 0.12"" Wall, 72"" Length",other,<a_233><b_240><c_244>,<a_58><b_154><c_127>,0,0,0,0,0,0,0,0,0,0
