row_id,user_id,item_id,item_title,brand,history_len,train_item_events,main_l3_020_sid,main_l3_020_rank,main_l3_020_hit10,main_l3_020_ndcg10,main_l3_020_l1_rank,main_l3_020_l12_rank,main_l3_020_l1_hit1,main_l3_020_l12_hit10,main_l3_020_top1,main_l3_020_top1_title,main_l3_020_top1_in_history,main_l3_020_same_l1_hist_count,main_l3_020_same_l12_hist_count,main_l3_020_l1_bucket_size,main_l3_020_l12_bucket_size,main_l3_020_l1_train_events,main_l3_020_l12_train_events,main_l3_020_sid_train_events,l3_010_sid,l3_010_rank,l3_010_hit10,l3_010_ndcg10,l3_010_l1_rank,l3_010_l12_rank,l3_010_l1_hit1,l3_010_l12_hit10,l3_010_top1,l3_010_top1_title,l3_010_top1_in_history,l3_010_same_l1_hist_count,l3_010_same_l12_hist_count,l3_010_l1_bucket_size,l3_010_l12_bucket_size,l3_010_l1_train_events,l3_010_l12_train_events,l3_010_sid_train_events,ndcg10_delta_l3_minus_main,hit10_transition
698,A3641,467,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",3M,1,159,<a_192><b_206><c_128>,999,0,0.0,999,999,0,0,<a_182><b_182><c_4>,"The Hillman Group 370326 Ribbed Plastic Anchor, 4-6-8 X 7/8-Inch, Yellow, 100-Pack",1,0,0,100,1,5003,159,159,<a_42><b_110><c_223>,999,0,0.0,32,999,0,0,<a_224><b_231><c_65>,"The Hillman Group 370326 Ribbed Plastic Anchor, 4-6-8 X 7/8-Inch, Yellow, 100-Pack",1,0,0,136,5,8406,405,159,0.0,0->0
699,A3641,228,"Duck Brand 240201 MAX Strength Duct Tape, 1.88 Inches by 45 Yards, Silver, Single Roll",Duck,2,37,<a_192><b_238><c_3>,999,0,0.0,2,13,0,0,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",0,1,0,100,5,5003,275,37,<a_42><b_172><c_254>,999,0,0.0,2,999,0,0,<a_224><b_231><c_65>,"The Hillman Group 370326 Ribbed Plastic Anchor, 4-6-8 X 7/8-Inch, Yellow, 100-Pack",1,1,0,136,4,8406,246,37,0.0,0->0
700,A3641,970,Wixey WR25 Mini Digital Height Gauge,Wixey,3,119,<a_160><b_120><c_231>,999,0,0.0,21,999,0,0,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",0,0,0,63,3,3550,322,119,<a_88><b_26><c_221>,999,0,0.0,999,999,0,0,<a_42><b_40><c_166>,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",0,0,0,97,2,5001,167,119,0.0,0->0
701,A3641,569,"Ribbed Plastic Drywall Anchor Kit with Screws and Masonry Drill Bit, #10-12 x 1",Qualihome,4,11,<a_182><b_182><c_101>,13,0,0.0,8,8,0,1,<a_50><b_14><c_146>,"Industrial & Scientific"" />",0,1,1,134,5,4252,74,11,<a_224><b_220><c_246>,999,0,0.0,2,999,0,0,<a_42><b_40><c_166>,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",0,1,0,150,3,5503,34,11,0.0,0->0
702,A4903,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",AcuRite,2,2351,<a_31><b_221><c_0>,1,1,1.0,1,1,1,1,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",0,0,0,61,2,7390,3869,3869,<a_59><b_52><c_0>,4,1,0.43067655807339306,2,4,0,1,<a_12><b_220><c_225>,Colgate Cavity Protection Toothpaste with Fluoride - 1 ounce (24 Pack),0,0,0,80,2,8035,3869,3869,-0.5693234419266069,1->1
703,A4903,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",AcuRite,3,2351,<a_31><b_221><c_0>,1,1,1.0,1,1,1,1,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,1,1,61,2,7390,3869,3869,<a_59><b_52><c_0>,1,1,1.0,1,1,1,1,<a_59><b_52><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,1,1,80,2,8035,3869,3869,0.0,1->1
704,A4903,182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",AcuRite,4,1518,<a_31><b_221><c_0>,1,1,1.0,1,1,1,1,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,2,2,61,2,7390,3869,3869,<a_59><b_52><c_0>,1,1,1.0,1,1,1,1,<a_59><b_52><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,2,2,80,2,8035,3869,3869,0.0,1->1
705,A6572,2734,Inland 1.75mm White PLA 3D Printer Filament - 1kg Spool (2.2 lbs),Inland,10,48,<a_186><b_178><c_166>,999,0,0.0,1,999,1,0,<a_186><b_249><c_4>,Metal J-head V6 Hotend 1.75mm Filament 0.4mm Bowden Extruder Reprap 3D Printer with 1 Mete (+1),0,3,0,113,21,3331,578,48,<a_251><b_78><c_116>,999,0,0.0,2,999,0,0,<a_118><b_0><c_50>,PTFE Teflon Bowden Tube for 1.75 Filament (2.0mm ID/4.0mm OD) &ndash; WhiteConnector Tubin,0,2,0,69,18,2987,539,48,0.0,0->0
706,A6572,2887,"Triton 1"" Dial Indicator 0.001"" Graduation Travel Lug Back White Face",All Industrial,10,6,<a_160><b_160><c_177>,999,0,0.0,999,999,0,0,<a_186><b_249><c_4>,Metal J-head V6 Hotend 1.75mm Filament 0.4mm Bowden Extruder Reprap 3D Printer with 1 Mete (+1),0,0,0,63,1,3550,6,6,<a_88><b_208><c_139>,999,0,0.0,999,999,0,0,<a_251><b_181><c_2>,"eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black",0,0,0,97,1,5001,6,6,0.0,0->0
707,A7266,1851,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow",HATCHBOX,1,409,<a_222><b_109><c_168>,2,1,0.6309297535714575,1,2,1,1,<a_222><b_157><c_189>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, B",0,1,0,159,24,10557,2870,409,<a_184><b_67><c_130>,5,1,0.38685280723454163,1,1,1,1,<a_184><b_67><c_38>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, R",0,1,1,210,27,12329,3387,409,-0.2440769463369159,1->1
708,A7266,164,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Green",HATCHBOX,2,4,<a_222><b_28><c_19>,999,0,0.0,1,5,1,1,<a_222><b_157><c_189>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, B",0,2,0,159,3,10557,608,4,<a_184><b_219><c_23>,999,0,0.0,1,3,1,1,<a_184><b_67><c_38>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, R",0,2,0,210,4,12329,630,4,0.0,0->0
709,A7266,1695,"HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red",HATCHBOX,3,208,<a_222><b_40><c_169>,49,0,0.0,1,49,1,0,<a_222><b_157><c_189>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, B",0,3,0,159,3,10557,407,208,<a_184><b_193><c_252>,999,0,0.0,1,999,1,0,<a_184><b_67><c_38>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, R",0,3,0,210,1,12329,208,208,0.0,0->0
710,A7266,2058,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Gray",HATCHBOX,4,35,<a_222><b_157><c_227>,25,0,0.0,1,1,1,1,<a_222><b_157><c_189>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, B",0,4,1,159,24,10557,2719,35,<a_184><b_67><c_55>,27,0,0.0,1,1,1,1,<a_184><b_67><c_38>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, R",0,4,2,210,27,12329,3387,35,0.0,0->0
711,A7266,2969,BLTouch : Auto Bed Leveling Sensor / To be a Premium 3D Printer,ANTCLABS,5,22,<a_249><b_140><c_233>,999,0,0.0,999,999,0,0,<a_222><b_157><c_13>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, S",0,0,0,41,1,1258,22,22,<a_29><b_26><c_64>,999,0,0.0,11,999,0,0,<a_184><b_67><c_38>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, R",0,0,0,42,1,1125,22,22,0.0,0->0
712,A7266,1674,"Gardner Bender GSW-42  Electrical Appliance Rocker Switch, SPST, ON-OFF, 16 A/125V AC, Spade Terminal,  Red Illuminated",Gardner Bender,6,15,<a_0><b_181><c_87>,999,0,0.0,999,999,0,0,<a_222><b_157><c_13>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, S",0,0,0,53,3,2197,187,15,<a_67><b_160><c_207>,999,0,0.0,999,999,0,0,<a_184><b_67><c_38>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, R",0,0,0,86,5,3495,379,15,0.0,0->0
713,A7266,2992,Tiny AVR Programmer,SparkFun,7,51,<a_45><b_217><c_0>,999,0,0.0,999,999,0,0,<a_222><b_157><c_13>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, S",0,0,0,56,1,2040,51,51,<a_175><b_10><c_232>,999,0,0.0,42,999,0,0,<a_29><b_239><c_50>,Kamo 5PCS 3D Printer 0.4mm Extruder Brass Nozzle Print Head for MK8 1.75mm ABS PLA Printer,0,0,0,81,1,4140,51,51,0.0,0->0
714,A7266,3266,2x ATMEL ATTINY85-20PU 8-BIT 20MHz MCU,Atmel,8,16,<a_45><b_163><c_249>,28,0,0.0,1,22,1,0,<a_45><b_217><c_0>,Tiny AVR Programmer,1,1,0,56,2,2040,26,16,<a_175><b_115><c_175>,999,0,0.0,9,999,0,0,<a_29><b_239><c_50>,Kamo 5PCS 3D Printer 0.4mm Extruder Brass Nozzle Print Head for MK8 1.75mm ABS PLA Printer,0,1,0,81,4,4140,119,16,0.0,0->0
715,A1261,1923,POWERTEC 71007 110/220V Paddle Switch,POWERTEC,4,13,<a_0><b_4><c_19>,999,0,0.0,999,999,0,0,<a_42><b_231><c_170>,"HM Digital 716160 COM-100 Waterproof Professional Series Combo Meter, 7"", White/Purple",0,0,0,53,1,2197,13,13,<a_67><b_71><c_175>,999,0,0.0,999,999,0,0,<a_235><b_184><c_6>,FLIR ONE Thermal Imager for Android,0,0,0,86,1,3495,13,13,0.0,0->0
716,A1749,281,SE TL10 10-Piece Test Lead Set with Alligator Clips,SE,4,285,<a_239><b_213><c_3>,3,1,0.5,1,3,1,1,<a_239><b_118><c_194>,Z&T Solderless Flexible Breadboard Jumper Wires M/M 100pcs,0,1,0,72,1,3416,285,285,<a_0><b_217><c_232>,999,0,0.0,999,999,0,0,<a_184><b_67><c_38>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, R",0,0,0,66,1,2275,285,285,-0.5,1->0
717,A1749,2879,"OCR 2.54mm Pitch Dual Row DIP IC Sockets Solder Type Adaptor Set 6,8,14,16,18,24,28,40 Pin Electronic Components Socket Adapter Connector 100pcs",OCR,5,19,<a_45><b_254><c_110>,999,0,0.0,46,999,0,0,<a_239><b_213><c_3>,SE TL10 10-Piece Test Lead Set with Alligator Clips,1,0,0,56,2,2040,46,19,<a_175><b_186><c_122>,999,0,0.0,28,999,0,0,<a_184><b_67><c_38>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, R",0,1,0,81,1,4140,19,19,0.0,0->0
718,A2564,1027,B and K Industries D08050P 1/2-Inch OD by 50-Feet Copper Tubing,Mueller,10,19,<a_225><b_142><c_62>,999,0,0.0,9,999,0,0,<a_182><b_189><c_2>,"E-Z Lok Threaded Insert, Brass, Knife Thread, M3-0.5 Internal Threads, 9.52mm Length (Pack",0,0,0,83,1,5783,19,19,<a_115><b_170><c_30>,999,0,0.0,1,999,1,0,<a_115><b_225><c_0>,Ancor Heat Shrink Ring Terminals (+1),1,2,0,92,1,4746,19,19,0.0,0->0
719,A2571,469,CO-Z 5pcs Hss Cobalt Multiple Hole 50 Sizes Step Drill Bit Set with Aluminum Case,CO-Z,3,13,<a_51><b_227><c_65>,999,0,0.0,31,999,0,0,<a_175><b_80><c_117>,Applied Magnets Strong N52 Neodymium Magnet 1 inch Cube,0,0,0,116,5,4839,97,13,<a_15><b_68><c_176>,999,0,0.0,39,999,0,0,<a_253><b_23><c_1>,"KYDEX V Sheet - 0.028"" Thick, Black, 12&rdquo;x12&rdquo; Nominal",0,0,0,70,3,2164,47,13,0.0,0->0
720,A2571,2132,Temco 10 Lot 4 AWG 5/16 Hole Ring Terminal Lug Bare Copper Uninsulated Gauge,Temco,4,21,<a_202><b_250><c_125>,999,0,0.0,14,999,0,0,<a_175><b_80><c_117>,Applied Magnets Strong N52 Neodymium Magnet 1 inch Cube,0,0,0,167,2,11775,90,21,<a_191><b_24><c_56>,999,0,0.0,2,999,0,0,<a_253><b_23><c_1>,"KYDEX V Sheet - 0.028"" Thick, Black, 12&rdquo;x12&rdquo; Nominal",0,0,0,117,2,8937,90,21,0.0,0->0
721,A2914,2597,"Karter Scientific 206D2 Plastic Petri Dishes, 60 mm x 15 mm, 3 Vents, Sterile (Pack of 10)",Karter Scientific,5,37,<a_36><b_55><c_10>,999,0,0.0,4,999,0,0,<a_178><b_52><c_42>,"213C2 Karter Scientific Glass Graduated Cylinder 3 Piece Set 10, 50 & 100ml",0,1,0,46,1,1786,37,37,<a_105><b_202><c_168>,999,0,0.0,4,999,0,0,<a_223><b_208><c_140>,"213C2 Karter Scientific Glass Graduated Cylinder 3 Piece Set 10, 50 & 100ml",0,1,0,62,1,3042,37,37,0.0,0->0
722,A3360,754,Fluke Networks 26200900 Pro3000 Tone Generator with ABN Clips and RJ11 Plug,Fluke Networks,4,62,<a_165><b_74><c_183>,999,0,0.0,35,999,0,0,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",0,2,0,98,2,5516,141,62,<a_196><b_125><c_143>,999,0,0.0,9,999,0,0,<a_173><b_24><c_10>,"Super Lube 41160 Synthetic Grease (NLGI 2), 14.1 oz Canister, Translucent White",1,2,0,55,4,3156,341,62,0.0,0->0
723,A4108,1169,"Uxcell a12121300ux0202 Cutting Slotting End Mill Router Bit 4 Flute 1/4"" Shank 1/4"" Diameter",uxcell,4,15,<a_122><b_241><c_17>,999,0,0.0,999,999,0,0,<a_165><b_161><c_50>,"Pentek DGD-2501 Spun Polypropylene Filter Cartridge, 10"" x 4-1/2",0,0,0,72,4,3918,128,15,<a_71><b_181><c_83>,999,0,0.0,3,999,0,0,<a_31><b_127><c_49>,"Anderson Metals 57001-0402 Brass Hose Fitting, Adapter, 1/4"" Barb x 1/8"" NPT Male Pipe",0,0,0,125,2,5886,88,15,0.0,0->0
724,A4365,570,Bissell 9595A CleanView Bagless Vacuum with OnePass,Bissell,6,252,<a_83><b_205><c_121>,999,0,0.0,999,999,0,0,<a_31><b_37><c_17>,FLIR ONE Thermal Imager for Android,1,0,0,81,1,2862,252,252,<a_125><b_134><c_149>,999,0,0.0,999,999,0,0,<a_235><b_184><c_6>,FLIR ONE Thermal Imager for Android,1,0,0,62,1,2319,252,252,0.0,0->0
725,A4871,278,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",T-Rex,3,62,<a_192><b_122><c_104>,999,0,0.0,1,999,1,0,<a_192><b_206><c_128>,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",0,2,0,100,1,5003,62,62,<a_226><b_185><c_218>,26,0,0.0,24,26,0,0,<a_16><b_126><c_182>,"Nite Ize LSBM-01-2R3 S-Biner MicroLock Stainless Steel, 2-Pack, Black",1,0,0,65,1,4014,62,62,0.0,0->0
726,A5471,359,Kreg SK03 Pocket-Hole Screw Kit in 5 Sizes,Kreg,1,288,<a_191><b_218><c_245>,10,1,0.2890648263178879,10,10,0,1,<a_50><b_135><c_14>,"Industrial & Scientific"" />",1,0,0,99,6,4766,778,288,<a_224><b_58><c_204>,999,0,0.0,999,999,0,0,<a_134><b_96><c_105>,"Industrial & Scientific"" />",0,0,0,150,10,5503,947,288,-0.2890648263178879,1->0
727,A5471,970,Wixey WR25 Mini Digital Height Gauge,Wixey,2,119,<a_160><b_120><c_231>,7,1,0.3333333333333333,3,3,0,1,<a_191><b_239><c_250>,"Kreg SML-C2 2-Inch Washer Head #8 Coarse Pocket Screws, 50 Count",0,0,0,63,3,3550,322,119,<a_88><b_26><c_221>,999,0,0.0,3,27,0,0,<a_224><b_58><c_204>,Kreg SK03 Pocket-Hole Screw Kit in 5 Sizes,1,0,0,97,2,5001,167,119,-0.3333333333333333,1->0
728,A5471,1395,KREG Tools SSW Kreg Screw Selector Wheel. Woodworking,Kreg,3,55,<a_122><b_218><c_186>,18,0,0.0,18,18,0,0,<a_160><b_120><c_231>,Wixey WR25 Mini Digital Height Gauge,1,0,0,72,3,3918,155,55,<a_71><b_242><c_139>,6,1,0.3562071871080222,6,6,0,1,<a_88><b_189><c_4>,Wixey WR300 Digital Angle Gauge,0,0,0,125,1,5886,55,55,0.3562071871080222,0->1
729,A5471,83,Wixey WR300 Type 2 Digital Angle Gauge with Backlight&hellip;,Wixey,4,45,<a_186><b_187><c_209>,999,0,0.0,999,999,0,0,<a_160><b_120><c_231>,Wixey WR25 Mini Digital Height Gauge,1,0,0,113,2,3331,57,45,<a_245><b_120><c_149>,999,0,0.0,38,999,0,0,<a_224><b_58><c_204>,Kreg SK03 Pocket-Hole Screw Kit in 5 Sizes,1,0,0,51,2,1515,57,45,0.0,0->0
730,A5882,1281,Barge All Purpose Cement,Barge,3,37,<a_51><b_250><c_227>,999,0,0.0,29,999,0,0,<a_48><b_169><c_36>,DIKAVS 4PCS 3D Printer Precision Nickel plating M6 Nozzle 0.2mm/0.3mm/0.4mm/0.5mm For 1.75,0,0,0,116,1,4839,37,37,<a_245><b_93><c_229>,999,0,0.0,27,999,0,0,<a_152><b_35><c_84>,Mercurry 10 Meters GT2 timing belt width 6mm Fit for RepRap Mendel Rostock Prusa GT2-6mm B,0,0,0,51,1,1515,37,37,0.0,0->0
731,A5882,1747,"DIYmall 0.96"" Inch I2c IIC Serial 128x64 Oled LCD LED White Display Module for Arduino 51 Msp420 Stim32 SCR",DIYmall,4,20,<a_45><b_67><c_17>,999,0,0.0,999,999,0,0,<a_222><b_157><c_189>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, B",0,0,0,56,2,2040,40,20,<a_175><b_194><c_15>,999,0,0.0,999,999,0,0,<a_152><b_35><c_84>,Mercurry 10 Meters GT2 timing belt width 6mm Fit for RepRap Mendel Rostock Prusa GT2-6mm B,0,0,0,81,2,4140,40,20,0.0,0->0
732,A5882,2916,"Taulman BRIDGE Filament, 1.75 mm, BLACK",Taulman 3D,5,6,<a_222><b_158><c_36>,999,0,0.0,38,999,0,0,<a_239><b_113><c_60>,Phantom YoYo 170 Points Mini Breadboard for Arduino Proto Shield (6 PCS),0,0,0,159,1,10557,6,6,<a_184><b_183><c_0>,999,0,0.0,19,34,0,0,<a_118><b_91><c_180>,Kamo 5PCS Aluminum Heater Block M6 Specialized for MK7 MK8 Makerbot 3D Printer Extruder,0,0,0,210,4,12329,168,6,0.0,0->0
733,A5987,1758,Signswise 200x200mm 12V 220W Silicone Rubber Heating Heater for 3D Printer Heated Beds,Signswise,3,4,<a_161><b_111><c_47>,999,0,0.0,999,999,0,0,<a_182><b_56><c_124>,100Pcs M3 3mm Female Thread Hex Metal Nut Fastener Silver Tone,1,0,0,73,2,2353,19,4,<a_118><b_68><c_217>,999,0,0.0,8,999,0,0,<a_251><b_204><c_172>,RepRap Champion Metal J-Head V6 Hot End for RepRap 3D Printer 1.75mm Filament Direct Feed ,1,0,0,30,2,1172,19,4,0.0,0->0
734,A6851,1626,"Kimberly-Clark Kimtech Science Kimwipes Delicate Task Disposable Wiper, 8-25/64"" Length x 4-25/64"" Width, White (Pack of 3)",Kimberly-Clark Professional,4,49,<a_254><b_197><c_10>,999,0,0.0,999,999,0,0,<a_104><b_1><c_0>,DBPOWER 2 MP 15M Tube USB Waterproof Hd 6-led Borescope Endoscope Inspection Camera(Silver (+1),1,0,0,46,2,3152,637,49,<a_83><b_87><c_128>,999,0,0.0,999,999,0,0,<a_149><b_46><c_0>,DBPOWER 2 MP 15M Tube USB Waterproof Hd 6-led Borescope Endoscope Inspection Camera(Silver (+1),1,0,0,37,3,1791,686,49,0.0,0->0
735,A7113,3610,Platform Sticker for QIDI TECH I 3D Printer: 5 pcs kit,Qidi Technology,3,7,<a_249><b_91><c_231>,999,0,0.0,999,999,0,0,<a_85><b_219><c_31>,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +",1,0,0,41,1,1258,7,7,<a_246><b_220><c_205>,999,0,0.0,34,999,0,0,<a_184><b_67><c_38>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, R",0,0,0,52,1,2000,7,7,0.0,0->0
736,A7277,2130,uxcell 100 Pcs Zinc Plated Carbon Steel Rivet Nut Flat Head Insert Nutsert 1/4-20UNC,uxcell,1,41,<a_182><b_75><c_167>,999,0,0.0,999,999,0,0,<a_222><b_157><c_189>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, B",0,0,0,134,2,4252,65,41,<a_224><b_177><c_65>,999,0,0.0,999,999,0,0,<a_184><b_67><c_38>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, R",1,0,0,150,2,5503,56,41,0.0,0->0
737,A7277,2718,Inland 1.75mm Pink PLA 3D Printer Filament - 1kg Spool (2.2 lbs),Inland,2,25,<a_186><b_178><c_138>,999,0,0.0,31,999,0,0,<a_222><b_157><c_189>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, B",0,0,0,113,21,3331,578,25,<a_251><b_78><c_38>,999,0,0.0,7,999,0,0,<a_184><b_67><c_38>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, R",1,0,0,69,18,2987,539,25,0.0,0->0
738,A7277,3546,Inland 1.75mm Orange PLA 3D Printer Filament - 1kg Spool (2.2 lbs),Inland,3,37,<a_186><b_178><c_9>,33,0,0.0,3,4,0,1,<a_222><b_157><c_189>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, B",0,1,1,113,21,3331,578,37,<a_251><b_78><c_252>,21,0,0.0,1,1,1,1,<a_251><b_78><c_22>,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),0,1,1,69,18,2987,539,37,0.0,0->0
739,A7277,3405,"HATCHBOX PETG 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black",HATCHBOX,4,26,<a_222><b_161><c_241>,999,0,0.0,2,999,0,0,<a_186><b_178><c_46>,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),0,1,0,159,11,10557,176,26,<a_184><b_110><c_166>,999,0,0.0,16,999,0,0,<a_251><b_78><c_22>,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),0,1,0,210,14,12329,197,26,0.0,0->0
740,A7587,2728,BIQU Upgrade Wear Resistant MK10 Nozzles M7 0.4mm Threaded Stainless Steel Nozzle Extrusion Head (Pack of 5pcs),BIQU,4,23,<a_173><b_119><c_128>,999,0,0.0,999,999,0,0,<a_222><b_109><c_177>,"HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, B",0,0,0,56,1,2129,23,23,<a_152><b_117><c_225>,999,0,0.0,999,999,0,0,<a_251><b_181><c_2>,"eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black",0,0,0,32,1,1161,23,23,0.0,0->0
741,A658,700,"Anderson Metals 06130 Brass Pipe Fitting, 90 Degree Barstock Elbow, 1/4"" NPT Male x 1/4"" NPT Male Pipe",Anderson Metals,4,18,<a_78><b_237><c_54>,999,0,0.0,999,999,0,0,<a_191><b_219><c_252>,Senco A209909 18-Gauge-by-1-2-Inch Electro Galvanized Variety Pack Brads,0,0,0,131,2,4550,30,18,<a_31><b_23><c_225>,999,0,0.0,10,999,0,0,<a_85><b_242><c_73>,MaxxHaul 70073 Solid Rubber Heavy Duty Wheel Chock with Eyebolt,1,0,0,78,4,2919,175,18,0.0,0->0
742,A1130,220,Tach-It B-1 Single Edge Industrial Razor Blade (Pack of 100),Tach-It,9,98,<a_51><b_61><c_193>,999,0,0.0,8,999,0,0,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",0,0,0,116,3,4839,116,98,<a_163><b_120><c_205>,999,0,0.0,13,999,0,0,<a_59><b_178><c_7>,Nubee Temperature Gun Non-contact Digital Laser Infrared IR Thermometer,1,0,0,41,2,1555,133,98,0.0,0->0
743,A1761,40,"Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon",Forney,10,266,<a_6><b_89><c_63>,999,0,0.0,41,999,0,0,<a_248><b_211><c_252>,Wilton 11694 4-Inch Cross Slide Drill Press Vise,0,0,0,55,1,2965,266,266,<a_173><b_59><c_42>,9,1,0.3010299956639812,9,9,0,1,<a_71><b_242><c_139>,KREG Tools SSW Kreg Screw Selector Wheel. Woodworking,0,1,0,76,1,3522,266,266,0.3010299956639812,0->1
